id,duration,country_code,title,director,gender,country,year_awarded
Q1403096,90,FRA,Without Leaving an Address,Jean-Paul Le Chanois,male,France,1951
Q2283907,105,FRA,Justice Is Done,André Cayatte,male,France,1951
Q520462,100,CHE,Four in a Jeep,Leopold Lindtberg,male,Switzerland,1951
Q1536123,95,SWE,One Summer of Happiness,Arne Mattsson,male,Sweden,1952
Q465773,148,ITA/FRA,The Wages of Fear,Henri-Georges Clouzot,male,Italy/France,1953
Q1613944,107,GBR,Hobson's Choice,David Lean,male,United Kingdom,1954
Q554975,97,DEU,Die Ratten,Robert Siodmak,male,Germany,1955
Q1308277,93,USA,Invitation to the Dance,Gene Kelly,male,United States of America,1956
Q2345,95,USA,12 Angry Men,Sidney Lumet,male,United States of America,1957
Q239756,92,SWE,Wild Strawberries,Ingmar Bergman,male,Sweden,1958
Q141557,108,FRA,The Cousins,Philippe de Broca/Claude Chabrol,male,France,1959
Q1215047,122,ITA/FRA,La Notte,Michelangelo Antonioni,male,Italy/France,1961
Q1477112,107,GBR,A Kind of Loving,John Schlesinger,male,United Kingdom,1962
Q1403726,122,JPN,"Bushido, Samurai Saga",Tadashi Imai,male,Japan,1963
Q474072,98,ITA,Il diavolo,Gian Luigi Polidoro,male,Italy,1963
Q1542380,90,TUR,Dry Summer,Metin Erksan,male,Turkey,1964
Q542688,89,ITA/FRA,Alphaville,Jean-Luc Godard,male,Italy/France,1965
Q1637787,111,GBR,Cul-de-sac,Roman Polanski,male,United Kingdom,1966
Q1197125,93,BEL/FRA,The Departure,Jerzy Skolimowski,male,Belgium/France,1967
Q532112,110,SWE,Who Saw Him Die?,Jan Troell,male,Sweden,1968
Q683014,89,ITA,The Garden of the Finzi-Continis,Vittorio De Sica,male,Italy,1971
Q858047,110,ITA/FRA,The Canterbury Tales,Pier Paolo Pasolini,male,Italy/France,1972
Q715026,97,IND,Distant Thunder,Satyajit Ray,male,India,1973
Q1402938,120,CAN,The Apprenticeship of Duddy Kravitz,Ted Kotcheff,male,Canada,1974
Q1475202,89,HUN,Adoption,Márta Mészáros,female,Hungary,1975
Q1001943,123,USA,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",Robert Altman,male,United States of America,1976
Q760053,110,SUN,The Ascent,Larisa Shepitko,female,Soviet Union,1977
Q3015346,97,ESP,What Max Said,Emilio Martínez-Lázaro,male,Spain,1978
Q3218260,99,ESP,Las truchas,José Luis García Sánchez,male,Spain,1978
Q325286,127,DEU,David,Peter Lilienthal,male,Germany,1979
Q322107,180,DEU/CHE,Palermo or Wolfsburg,Werner Schroeter,male,Germany/Switzerland,1980
Q1402558,96,USA,Heartland,Richard Pearce,male,United States of America,1980
Q922099,99,ESP/FRA,"Deprisa, Deprisa",Carlos Saura,male,Spain/France,1981
Q703188,100,DEU,Veronika Voss,Rainer Werner Fassbinder,male,Germany,1982
Q2607773,92,GBR,Ascendancy,Edward Bennett,male,United Kingdom,1983
Q2521232,141,USA,Love Streams,John Cassavetes,male,United States of America,1984
Q3420924,102,GBR,Wetherby,David Hare,male,United Kingdom,1985
Q480773,97,DDR/DEU,The Woman and the Stranger,Rainer Simon,male,German Democratic Republic/Germany,1985
Q571512,107,DEU,Stammheim,Reinhard Hauff,male,Germany,1986
Q734048,99,SUN,The Theme,Gleb Panfilov,male,Soviet Union,1987
Q166588,91,CHN,Red Sorghum,Zhang Yimou,male,People's Republic of China,1988
Q188845,128,USA,Rain Man,Barry Levinson,male,United States of America,1989
Q1427849,124,USA,Music Box,Costa-Gavras,male,United States of America,1990
Q2303863,94,CSK,Larks on a String,Jiří Menzel,male,Czechoslovakia,1990
Q1088798,110,ITA,The House of Smiles,Marco Ferreri,male,Italy,1991
Q1542548,134,USA,Grand Canyon,Lawrence Kasdan,male,United States of America,1992
Q182071,103,TWN/USA,The Wedding Banquet,Ang Lee,male,Taiwan/United States of America,1993
Q1088947,105,CHN,Woman Sesame Oil Maker,Xie Fei,male,People's Republic of China,1993
Q304074,133,USA/GBR/IRL,In the Name of the Father,Jim Sheridan,male,Republic of Ireland/United Kingdom/United States of America,1994
Q1087039,113,FRA,The Bait,Bertrand Tavernier,male,France,1995
Q643263,136,USA/GBR,Sense and Sensibility,Ang Lee,male,United Kingdom/United States of America,1996
Q750077,130,USA,The People vs. Larry Flynt,Miloš Forman,male,United States of America,1997
Q1054036,113,BRA/FRA,Central Station,Walter Salles,male,Brazil/France,1998
Q221491,166,USA,The Thin Red Line,Terrence Malick,male,United States of America,1999
Q588420,188,USA,Magnolia,Paul Thomas Anderson,male,United States of America,2000
