id,duration,country_code,title,director,gender,country,year_awarded
Q937385,103,FRA,Manon,Henri-Georges Clouzot,male,France,1949
Q2283907,105,FRA,Justice Is Done,André Cayatte,male,France,1950
Q135465,88,JPN,Rashomon,Akira Kurosawa,male,Japan,1951
Q976558,86,FRA,Forbidden Games,René Clément,male,France,1952
Q2716956,138,ITA/GBR,Romeo and Juliet,Renato Castellani,male,Italy/United Kingdom,1954
Q2352630,126,DNK,Ordet,Carl Theodor Dreyer,male,Denmark,1955
Q622382,105,IND,Aparajito,Satyajit Ray,male,India,1957
Q1060505,103,JPN,Rickshaw Man,Hiroshi Inagaki,male,Japan,1958
Q862713,133,ITA/FRA,General della Rovere,Roberto Rossellini,male,Italy/France,1959
Q150867,137,ITA/FRA,The Great War,Mario Monicelli,male,Italy/France,1959
Q744482,123,ITA/DEU/FRA,Tomorrow Is My Turn,André Cayatte,male,Italy/Germany/France,1960
Q225355,94,ITA/DEU/FRA,Last Year at Marienbad,Alain Resnais,male,Italy/Germany/France,1961
Q1754854,115,ITA/FRA,Family Diary,Valerio Zurlini,male,Italy/France,1962
Q147878,95,SUN,Ivan's Childhood,Andrei Tarkovsky,male,Soviet Union,1962
Q2253732,105,ITA/FRA,Hands Over the City,Francesco Rosi,male,Italy/France,1963
Q399647,117,ITA/FRA,Red Desert,Michelangelo Antonioni,male,Italy/France,1964
Q1816145,105,ITA,Sandra,Luchino Visconti,male,Italy,1965
Q784812,117,ITA/DZA,The Battle of Algiers,Gillo Pontecorvo,male,Italy/Algeria,1965
Q470375,101,FRA,Belle de Jour,Luis Buñuel,male,France,1967
Q573953,103,DEU,Artists Under the Big Top: Perplexed,Alexander Kluge,male,Germany,1968
Q756329,104,USA/CAN/FRA,Atlantic City,Louis Malle,male,Canada/France/United States of America,1980
Q627942,117,USA,Gloria,John Cassavetes,male,United States of America,1980
Q703966,106,DEU,Marianne and Juliane,Margarethe von Trotta,female,Germany,1981
Q692367,124,PRT/USA/DEU/FRA,The State of Things,Wim Wenders,male,Portugal/Germany/France/United States of America,1982
Q2296139,85,FRA/CHE,First Name: Carmen,Jean-Luc Godard,male,France/Switzerland,1983
Q1094047,106,POL/ITA,A Year of the Quiet Sun,Krzysztof Zanussi,male,Italy/Poland,1984
Q2298257,100,FRA,Vagabond,Agnès Varda,female,France,1985
Q1171334,98,FRA,The Green Ray,Éric Rohmer,male,France,1986
Q187276,104,ITA/DEU/FRA,Au revoir les enfants,Louis Malle,male,Italy/Germany/France,1987
Q2182637,127,ITA/FRA,The Legend of the Holy Drinker,Ermanno Olmi,male,Italy/France,1988
Q133461,158,TWN,A City of Sadness,Hou Hsiao-Hsien,male,Taiwan,1989
Q1579166,118,GBR,Rosencrantz & Guildenstern Are Dead,Tom Stoppard,male,United Kingdom,1990
Q1169942,120,FRA/SUN,Close to Eden,Nikita Mikhalkov,male,Soviet Union/France,1991
Q605226,187,USA,Short Cuts,Robert Altman,male,United States of America,1993
Q932814,100,POL/FRA/CHE,Three Colours: Blue,Krzysztof Kieślowski,male,Poland/France/Switzerland,1993
Q711684,118,TWN,Vive L'Amour,Tsai Ming-liang,male,Taiwan,1994
Q911013,113,MKD/FRA/GBR,Before the Rain,Milcho Manchevski,male,North Macedonia/France/United Kingdom,1994
Q2253032,123,VNM/FRA,Cyclo,Tran Anh Hung,male,Vietnam/France,1995
Q430535,133,USA/GBR/IRL,Michael Collins,Neil Jordan,male,Republic of Ireland/United Kingdom/United States of America,1996
Q1125897,103,JPN,Hana-bi,Takeshi Kitano,male,Japan,1997
Q1752164,124,ITA,The Way We Laughed,Gianni Amelio,male,Italy,1998
Q1190863,106,CHN,Not One Less,Zhang Yimou,male,People's Republic of China,1999
Q1194947,88,IRN/ITA/CHE,The Circle,Jafar Panahi,male,Italy/Iran/Switzerland,2000
Q945586,114,DEU/FRA/GBR/IND/USA/ITA,Monsoon Wedding,Mira Nair,female,United Kingdom/France/Italy/Germany/United States of America/India,2001
Q606723,114,FRA/IRL/GBR,The Magdalene Sisters,Peter Mullan,male,Republic of Ireland/France/United Kingdom,2002
Q385494,106,RUS,The Return,Andrey Zvyagintsev,male,Russia,2003
Q916645,126,FRA/GBR,Vera Drake,Mike Leigh,male,France/United Kingdom,2004
Q160618,134,USA,Brokeback Mountain,Ang Lee,male,United States of America,2005
Q1371155,111,HKG/CHN,Still Life,Jia Zhangke,male,Hong Kong/People's Republic of China,2006
Q718524,157,TWN/USA/CHN,"Lust, Caution",Ang Lee,male,Taiwan/People's Republic of China/United States of America,2007
Q139326,105,USA/FRA,The Wrestler,Darren Aronofsky,male,France/United States of America,2008
Q1142358,93,ISR/DEU/FRA/LBN,Lebanon,Samuel Maoz,male,Lebanon/Germany/France/Israel,2009
Q1338368,98,USA/ITA,Somewhere,Sofia Coppola,female,Italy/United States of America,2010
Q541354,134,DEU/RUS,Faust,Alexander Sokurov,male,Russia/Germany,2011
Q483197,104,KOR,Pietà,Kim Ki-duk,male,South Korea,2012
Q14853564,91,ITA/FRA,Sacro GRA,Gianfranco Rosi,male,Italy/France,2013
Q10483256,101,NOR/SWE/FRA/DEU,A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,male,France/Germany/Sweden/Norway,2014
Q20747599,93,VEN/MEX,From Afar,Lorenzo Vigas,male,Mexico/Venezuela,2015
Q26698156,123,USA/MEX,The Shape of Water,Guillermo del Toro,male,Mexico/United States of America,2017
Q27959455,135,USA/MEX,Roma,Alfonso Cuarón,male,Mexico/United States of America,2018
Q61740820,107,USA,Nomadland,Chloé Zhao,female,United States of America,2020
Q107675028,100,FRA,Happening,Audrey Diwan,female,France,2021
Q113445202,122,USA,All the Beauty and the Bloodshed,Laura Poitras,female,United States of America,2022
Q108760382,141,USA/GBR/IRL,Poor Things,Yorgos Lanthimos,male,Republic of Ireland/United Kingdom/United States of America,2023
