id,duration,country_code,title,director,gender,country,year_awarded
Q237116,91,USA,Marty,Paul Helmick/Delbert Mann,male,United States of America,1955
Q289648,85,ITA/FRA,The Silent World,Louis Malle/Jacques Cousteau,male,France/Italy,1956
Q1621402,137,USA,Friendly Persuasion,William Wyler,male,United States of America,1957
Q714524,97,SUN,The Cranes Are Flying,Mikhail Kalatozov,male,Soviet Union,1958
Q538266,107,ITA/BRA/FRA,Black Orpheus,Marcel Camus,male,France/Brazil/Italy,1959
Q18407,174,ITA/FRA,La Dolce Vita,Federico Fellini,male,France/Italy,1960
Q2661411,85,ITA/FRA,The Long Absence,Henri Colpi,male,France/Italy,1961
Q852841,90,MEX/ESP,Viridiana,Luis Buñuel,male,Mexico/Spain,1961
Q1482269,92,BRA,O Pagador de Promessas,Anselmo Duarte,male,Brazil,1962
Q596623,183,ITA/FRA,The Leopard,Luchino Visconti,male,France/Italy,1963
Q163868,91,FRA,The Umbrellas of Cherbourg,Jacques Demy,male,France,1964
Q1198726,85,GBR,The Knack ...and How to Get It,Richard Lester,male,United Kingdom,1965
Q261403,102,FRA,A Man and a Woman,Claude Lelouch,male,France,1966
Q319275,115,ITA/FRA,"The Birds, the Bees and the Italians",Pietro Germi,male,France/Italy,1966
Q658204,111,ITA/GBR,Blowup,Michelangelo Antonioni,male,United Kingdom/Italy,1967
Q1346745,111,GBR,If....,Lindsay Anderson,male,United Kingdom,1969
Q494085,116,USA,MASH,Robert Altman,male,United States of America,1970
Q664020,118,GBR,The Go-Between,Joseph Losey,male,United Kingdom,1971
Q1197936,120,ITA,The Working Class Goes to Heaven,Elio Petri,male,Italy,1972
Q2755251,110,ITA,The Mattei Affair,Francesco Rosi,male,Italy,1972
Q1344329,112,USA,Scarecrow,Jerry Schatzberg,male,United States of America,1973
Q1118527,95,GBR,The Hireling,Alan Bridges,male,United Kingdom,1973
Q1009788,109,USA,The Conversation,Francis Ford Coppola,male,United States of America,1974
Q2713929,177,DZA,Chronicle of the Years of Fire,Mohammed Lakhdar-Hamina,male,Algeria,1975
Q47221,114,USA,Taxi Driver,Martin Scorsese,male,United States of America,1976
Q527598,113,ITA,Padre Padrone,Vittorio Taviani/Paolo Taviani,male,Italy,1977
Q1194413,186,ITA,The Tree of Wooden Clogs,Ermanno Olmi,male,Italy,1978
